n_graphs; sys_matrix; graph_type; n_nodes; graph_param; input; edge_score; quantity_pair; metric; corr_coef_avg; corr_coef_std; metric; corr_coef_avg; corr_coef_std;
100; neg_laplacian; connected_ER; 20; 0.5; identity; Wc_spec_dist; ('sys_mat_spec_dist', 'Wc_spec_dist'); spearmanr; 0.903; 0.099; kendalltau; 0.778; 0.124; 
100; neg_laplacian; connected_RG; 20; 0.25; identity; Wc_spec_dist; ('sys_mat_spec_dist', 'Wc_spec_dist'); spearmanr; 0.968; 0.075; kendalltau; 0.934; 0.087; 
100; neg_laplacian; BA; 20; 5; identity; Wc_spec_dist; ('sys_mat_spec_dist', 'Wc_spec_dist'); spearmanr; 0.969; 0.02; kendalltau; 0.876; 0.044; 
100; neg_laplacian; connected_ER; 20; 0.5; zfs; Wc_spec_dist; ('sys_mat_spec_dist', 'Wc_spec_dist'); spearmanr; 0.694; 0.271; kendalltau; 0.565; 0.242; 
100; neg_laplacian; connected_RG; 20; 0.25; zfs; Wc_spec_dist; ('sys_mat_spec_dist', 'Wc_spec_dist'); spearmanr; 0.966; 0.091; kendalltau; 0.926; 0.108; 
100; neg_laplacian; BA; 20; 5; zfs; Wc_spec_dist; ('sys_mat_spec_dist', 'Wc_spec_dist'); spearmanr; 0.622; 0.245; kendalltau; 0.499; 0.222; 
100; neg_laplacian; connected_ER; 20; 0.5; zfs_transf; Wc_spec_dist; ('sys_mat_spec_dist', 'Wc_spec_dist'); spearmanr; 0.892; 0.115; kendalltau; 0.768; 0.138; 
100; neg_laplacian; connected_RG; 20; 0.25; zfs_transf; Wc_spec_dist; ('sys_mat_spec_dist', 'Wc_spec_dist'); spearmanr; 0.965; 0.08; kendalltau; 0.925; 0.091; 
100; neg_laplacian; BA; 20; 5; zfs_transf; Wc_spec_dist; ('sys_mat_spec_dist', 'Wc_spec_dist'); spearmanr; 0.957; 0.08; kendalltau; 0.879; 0.106; 
100; neg_laplacian; connected_ER; 20; 0.5; zfs_new; Wc_spec_dist; ('sys_mat_spec_dist', 'Wc_spec_dist'); spearmanr; 0.694; 0.271; kendalltau; 0.565; 0.242; 
100; neg_laplacian; connected_RG; 20; 0.25; zfs_new; Wc_spec_dist; ('sys_mat_spec_dist', 'Wc_spec_dist'); spearmanr; 0.966; 0.091; kendalltau; 0.926; 0.108; 
100; neg_laplacian; BA; 20; 5; zfs_new; Wc_spec_dist; ('sys_mat_spec_dist', 'Wc_spec_dist'); spearmanr; 0.622; 0.245; kendalltau; 0.499; 0.222; 
100; neg_laplacian; connected_ER; 20; 0.5; identity; random; ('sys_mat_spec_dist', 'Wc_spec_dist'); spearmanr; 0.911; 0.0915; kendalltau; 0.78; 0.116; 
100; neg_laplacian; connected_RG; 20; 0.25; identity; random; ('sys_mat_spec_dist', 'Wc_spec_dist'); spearmanr; 1; 0.000472; kendalltau; 0.991; 0.00435; 
100; neg_laplacian; BA; 20; 5; identity; random; ('sys_mat_spec_dist', 'Wc_spec_dist'); spearmanr; 0.957; 0.0627; kendalltau; 0.865; 0.0852; 
100; neg_laplacian; connected_ER; 20; 0.5; zfs; random; ('sys_mat_spec_dist', 'Wc_spec_dist'); spearmanr; 0.699; 0.236; kendalltau; 0.553; 0.212; 
100; neg_laplacian; connected_RG; 20; 0.25; zfs; random; ('sys_mat_spec_dist', 'Wc_spec_dist'); spearmanr; 0.997; 0.00414; kendalltau; 0.978; 0.0136; 
100; neg_laplacian; BA; 20; 5; zfs; random; ('sys_mat_spec_dist', 'Wc_spec_dist'); spearmanr; 0.545; 0.268; kendalltau; 0.4; 0.213; 
100; neg_laplacian; connected_ER; 20; 0.5; zfs_transf; random; ('sys_mat_spec_dist', 'Wc_spec_dist'); spearmanr; 0.905; 0.095; kendalltau; 0.77; 0.118; 
